WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,FRA,France,Aurillac,2019,6.57,11.01,9.39,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Avignon,2019,10.98,21.93,20.15,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Bassens,2019,9.26,16.63,14.41,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Bastia,2019,8.67,17.68,11.77,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Beauvais,2019,11.07,19.32,28.26,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Besancon,2019,9.17,14.79,19.63,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Bethune,2019,11.76,17.88,14.19,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Biarritz,2019,6.48,20.82,12.63,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Billere,2019,6.03,13.15,11.56,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Bobigny,2019,10.21,18.49,28.04,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Bourg-En-Bresse,2019,9.21,13.66,15.08,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Bourg-Les-Valence,2019,9.71,18.58,30.81,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Brest,2019,7.49,17.8,18.94,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Caen,2019,9.1,17.63,19.47,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Calais,2019,10.23,22.04,14.38,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Cartignies,2019,9.42,16.19,6.14,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Chalon-Sur-Saone,2019,9.66,15.14,24.29,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Chambery,2019,9.0,15.42,21.22,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Chartres,2019,10.53,14.64,19.46,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Clermont-Ferrand,2019,8.78,14.51,23.36,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Creil,2019,11.47,17.65,20.4,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Dax,2019,8.71,17.53,11.55,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Dieppe,2019,11.26,25.14,32.94,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Dijon,2019,7.38,14.91,18.57,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Douai,2019,12.37,20.0,15.93,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Dunkerque,2019,11.44,22.29,15.86,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Echirolles,2019,9.69,23.01,37.52,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Epernay,2019,9.68,20.24,23.93,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Forbach,2019,11.42,17.21,17.95,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Gaillard,2019,9.92,15.31,15.68,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Gap,2019,10.63,17.64,22.99,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Gardanne,2019,11.9,25.49,22.5,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Gennevilliers,2019,12.09,19.9,28.3,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Grenoble,2019,10.94,19.04,30.0,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Guipry,2019,7.16,16.4,5.22,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Jonville-En-Woevre,2019,9.53,17.6,5.84,European Environment Agency (downloaded in 2021)
European Region,FRA,France,La Rochelle,2019,9.08,18.89,16.81,European Environment Agency (downloaded in 2021)
European Region,FRA,France,La Tardiere,2019,7.62,11.94,4.13,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Le Havre,2019,10.42,19.84,20.98,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Le Mans,2019,9.29,15.11,11.88,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Le Marin,2019,8.42,21.74,1.62,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Les Mazures,2019,6.08,10.28,4.7,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Lille,2019,11.94,19.97,25.95,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Limoges,2019,8.11,14.67,21.58,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Lorient,2019,9.25,15.09,9.29,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Lourdes,2019,8.14,12.42,13.41,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Lunel-Viel,2019,8.38,15.9,11.89,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Lyon,2019,11.57,18.16,29.98,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Manosque,2019,8.16,13.38,10.18,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Marmande,2019,6.86,17.09,16.48,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Marseille,2019,11.1,23.85,34.6,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Melun,2019,13.63,25.6,28.75,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Metz,2019,10.3,16.19,19.43,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Mont-De-Marsan,2019,7.6,17.45,15.43,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Montargis,2019,8.63,12.96,15.86,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Montbeliard,2019,10.66,16.68,18.88,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Montlucon,2019,6.16,12.01,14.86,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Montpellier,2019,8.18,16.84,27.83,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Moult,2019,9.88,13.83,11.82,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Mulhouse,2019,12.04,16.97,24.81,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Nancy,2019,9.46,16.09,21.87,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Nantes,2019,10.11,17.25,19.04,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Nice,2019,12.08,24.92,34.27,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Nimes,2019,8.18,18.34,23.55,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Niort,2019,8.85,17.97,20.07,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Paray-Le-Fresil,2019,6.77,10.61,3.72,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Paris,2019,15.51,24.75,41.32,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Passy,2019,14.05,20.04,15.64,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Perigueux,2019,6.69,13.12,10.04,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Perpignan,2019,9.65,13.77,14.88,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Peyrusse-Vieille,2019,6.49,10.54,0.91,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Pointe-À-Pitre,2019,8.12,21.44,10.39,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Poitiers,2019,9.85,16.62,21.14,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Reims,2019,11.38,20.03,28.25,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Rennes,2019,9.42,15.8,21.47,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Roubaix,2019,14.09,20.48,29.16,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Rouen,2019,12.91,19.23,30.58,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Brisson,2019,5.76,11.03,3.01,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Chamond,2019,8.25,12.5,24.28,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Denis,2019,12.11,30.95,28.56,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Denis-D'anjou,2019,9.31,15.32,4.79,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Dizier,2019,9.37,16.43,10.36,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Etienne,2019,8.28,15.77,24.72,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Germain-Sur-Rhone,2019,7.82,12.48,6.61,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Nazaire,2019,8.24,17.24,9.05,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Nazaire-Le-Desert,2019,4.79,8.12,1.38,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Paul,2019,5.71,13.85,8.36,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Pierre,2019,5.82,19.16,13.46,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Saint-Quentin,2019,13.04,17.56,17.97,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Sainte-Savine,2019,11.17,17.02,12.58,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Salaise-Sur-Sanne,2019,10.11,15.86,37.42,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Strasbourg,2019,13.98,21.71,31.51,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Talence,2019,9.81,15.53,14.93,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Thionville,2019,8.2,16.53,16.66,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Toulon,2019,12.33,25.42,30.3,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Toulouse,2019,9.19,17.24,26.75,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Valence,2019,10.37,16.29,20.17,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Valenciennes,2019,12.42,20.1,24.44,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Vaulx-En-Velin,2019,10.95,16.15,21.24,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Venaco,2019,4.37,9.16,1.36,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Villefranche-Sur-Saone,2019,9.34,14.3,20.36,European Environment Agency (downloaded in 2021)
European Region,FRA,France,Vitry-Sur-Seine,2019,10.8,19.27,28.24,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Augsburg,2010,15.99,27.95,42.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Arolsen/Kohlgrund,2010,13.36,16.88,10.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Lauterberg Im Harz,2010,18.4,22.43,44.52,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Belau,2010,16.21,19.68,12.62,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Berlin,2010,21.33,28.62,32.89,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bosel,2010,15.26,20.98,13.48,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brandenburg An Der Havel,2010,20.22,22.16,16.0,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Braunlage,2010,6.34,8.47,6.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremen,2010,15.65,22.61,27.35,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brunbuttel,2010,17.14,23.14,23.79,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Buckow,2010,21.03,24.4,9.14,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Burg (Bei Magdeburg),2010,21.04,25.61,16.56,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Chemnitz,2010,19.56,25.41,35.75,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Collm,2010,13.69,17.84,12.63,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Cottbus,2010,23.28,29.0,28.99,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dornbock,2010,20.41,23.91,11.39,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dortmund,2010,19.81,29.12,47.69,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dresden,2010,19.31,27.93,37.57,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Duisburg,2010,23.89,30.31,36.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dusseldorf,2010,17.79,31.72,48.69,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Eberswalde,2010,22.41,31.4,27.62,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Eisenhuttenstadt,2010,22.23,26.71,14.06,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Elsterwerda,2010,22.98,27.98,17.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Erfurt,2010,16.84,26.84,33.08,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Essen,2010,18.7,28.49,44.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Frankfurt,2010,20.75,31.99,46.29,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Frankfurt A. Main,2010,18.66,20.66,38.51,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Freiburg,2010,13.62,18.45,22.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Fulda,2010,19.27,22.11,35.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Giessen,2010,19.44,27.53,46.13,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Goettingen,2010,13.24,16.59,15.81,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gottingen,2010,17.9,26.93,40.59,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Greiz,2010,18.51,24.29,20.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gustrow,2010,14.62,19.79,11.2,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Halle (Saale),2010,20.39,30.09,38.32,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hamburg,2010,17.4,23.03,34.43,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hannover,2010,16.47,24.73,36.12,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Harzgerode,2010,14.96,16.93,5.91,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Heppenheim (Bergstrasse),2010,20.23,25.43,36.73,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hortenkopf,2010,9.13,12.9,8.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kaiserslautern,2010,14.06,20.92,28.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Karlsruhe,2010,17.14,23.1,35.45,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kassel,2010,16.81,24.75,37.59,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kiel,2010,16.83,21.94,37.23,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Koblenz,2010,16.2,24.04,43.48,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Konigs Wusterhausen,2010,20.43,24.98,19.07,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Leipzig,2010,18.92,28.17,38.14,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lingen (Ems),2010,15.36,19.18,16.17,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lubeck,2010,14.37,19.53,14.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luchow,2010,12.99,16.88,12.18,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ludwigshafen,2010,16.97,23.43,39.07,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Magdeburg,2010,21.4,29.89,37.78,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mainz,2010,16.59,20.8,42.03,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mannheim,2010,18.02,23.96,35.46,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Marburg,2010,19.66,21.8,34.48,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Monchengladbach,2010,17.89,24.84,27.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Nauen,2010,20.64,26.7,13.06,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Neuwied,2010,15.88,20.26,30.01,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Nurnberg,2010,17.71,26.13,38.67,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Osnabruck,2010,17.98,28.08,49.52,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Osnabrueck,2010,15.36,20.25,20.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Potsdam,2010,20.51,27.14,31.26,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Rinteln,2010,14.46,19.06,14.41,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Rostock,2010,12.55,24.62,30.48,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Saarbrucken,2010,13.28,24.76,28.99,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Salzgitter,2010,14.77,20.87,17.31,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Soest,2010,17.34,20.54,16.72,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Trier,2010,16.62,22.75,38.93,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wesel,2010,16.15,23.54,24.45,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wiesbaden,2010,16.95,19.99,46.74,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wilhelmshaven,2010,12.41,16.95,11.57,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wittenberge,2010,17.37,20.8,13.25,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Zella-Mehlis,2010,14.29,18.26,13.41,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Lauterberg Im Harz,2013,14.15,18.21,35.95,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Belau,2013,11.61,16.26,10.71,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Berlin,2013,16.37,24.08,31.45,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bosel,2013,13.16,20.48,15.17,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremen,2013,12.73,20.34,24.99,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremerhaven,2013,14.9,20.88,33.33,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brunsbuttel,2013,13.2,21.19,23.5,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dortmund,2013,16.59,25.05,44.25,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Duisburg,2013,17.29,27.04,34.52,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dusseldorf,2013,15.35,25.67,45.15,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Erfurt,2013,14.83,21.9,30.75,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Flensburg,2013,12.7,20.81,32.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Freiburg Im Breisgau,2013,13.79,18.57,44.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gehlberg,2013,7.97,11.25,5.43,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gelsenkirchen,2013,17.63,25.21,39.81,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gottingen,2013,12.9,20.57,29.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Greiz,2013,15.6,18.7,17.57,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gulzow-Pruzen,2013,12.83,17.64,8.16,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gustrow,2013,12.38,17.98,9.73,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hamburg,2013,14.03,20.59,30.96,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hannover,2013,13.01,19.24,39.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Itzehoe,2013,12.94,19.61,40.1,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Karlsruhe,2013,14.76,19.98,39.23,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kiel,2013,13.86,19.91,41.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Koln,2013,18.18,22.39,41.62,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Konigs Wusterhausen,2013,14.22,19.36,15.92,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lingen (Ems),2013,13.46,17.39,16.41,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lubeck,2013,11.76,18.45,24.11,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luchow,2013,10.16,15.34,11.93,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luder,2013,10.71,14.77,7.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mannheim,2013,15.32,21.27,30.68,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Oberried,2013,6.78,8.08,2.52,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Osnabruck,2013,13.73,21.75,33.85,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ratzeburg,2013,11.8,18.91,42.55,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Rinteln,2013,11.93,17.16,15.98,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Rostock,2013,10.84,22.56,28.71,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Saarbrucken,2013,13.36,20.16,30.49,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Salzgitter,2013,11.59,18.25,17.29,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Soest,2013,14.97,18.16,16.34,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Stechlin,2013,10.06,13.73,4.35,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Tubingen,2013,13.64,22.26,46.27,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wilhelmshaven,2013,10.12,16.26,11.6,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Zella-Mehlis,2013,14.78,16.91,18.0,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Andechs,2014,8.2,10.31,7.32,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Annaberg-Buchholz,2014,14.14,19.06,19.7,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ansbach,2014,12.8,20.42,31.83,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Augsburg,2014,12.92,21.5,30.71,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Arolsen,2014,11.08,15.29,9.37,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Lauterberg Im Harz,2014,14.52,19.87,28.66,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bamberg,2014,13.61,19.07,23.96,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Belau,2014,11.56,18.95,10.09,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Berlin,2014,20.55,27.28,31.45,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bernau Bei Berlin,2014,19.76,27.1,26.81,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Blankenfelde-Mahlow,2014,17.9,22.11,14.56,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bosel,2014,15.42,24.1,15.37,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brandenburg An Der Havel,2014,17.93,23.2,20.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Braunschweig,2014,13.67,20.59,26.99,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremen,2014,14.73,21.96,24.97,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremerhaven,2014,13.67,23.7,32.31,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brunsbuttel,2014,15.12,23.19,23.44,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Buckow (Markische Schweiz),2014,15.42,19.32,9.26,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Burg (Bei Magdeburg),2014,13.92,18.57,13.49,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Burghausen,2014,13.88,18.37,21.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Chemnitz,2014,16.67,24.57,32.93,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Cottbus,2014,18.33,24.73,24.55,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Datteln,2014,15.63,19.12,21.13,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dornbock,2014,16.46,20.84,9.46,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dortmund,2014,15.21,23.03,41.94,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dresden,2014,17.25,24.94,34.72,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Duisburg,2014,16.62,23.44,35.28,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dusseldorf,2014,13.56,22.81,44.83,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Eisenhuttenstadt,2014,16.84,21.42,11.42,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Elsterwerda,2014,16.37,20.93,15.22,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Erfurt,2014,14.67,21.75,29.85,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Essen,2014,14.62,23.6,42.23,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Flensburg,2014,14.8,22.08,32.86,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Frankfurt (Oder),2014,19.22,27.41,22.67,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Frankfurt Am Main,2014,15.68,22.82,43.26,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Freiburg Im Breisgau,2014,11.09,15.74,41.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Fulda,2014,14.64,21.13,32.58,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gehlberg,2014,7.96,11.04,4.59,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gelsenkirchen,2014,15.67,27.25,39.18,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Giessen,2014,16.21,25.51,45.12,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gottingen,2014,13.34,21.74,28.27,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Greiz,2014,15.31,18.74,15.94,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gulzow-Pruzen,2014,15.59,19.68,8.49,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gustrow,2014,15.39,21.62,9.91,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Halle (Saale),2014,18.68,27.43,34.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hamburg,2014,15.52,22.76,30.45,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hannover,2014,15.09,22.04,37.15,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Harzgerode,2014,10.63,14.2,5.42,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Heilbronn,2014,16.01,27.59,47.46,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Heppenheim (Bergstrasse),2014,14.85,20.17,33.08,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ingolstadt,2014,14.23,19.9,26.73,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Itzehoe,2014,15.72,21.82,36.37,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kaiserslautern,2014,12.25,17.07,22.81,European Environment Agency (downloaded in 2021)
